13F	0001364742	BlackRockInc.	2018-05-09
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
AARONS INC	COM PAR $0.50	002535300	439		9416	SH	SOLE	28		9416	0	0
AARONS INC	COM PAR $0.50	002535300	237		5077	SH	SOLE	29		0	0	5077
AARONS INC	COM PAR $0.50	002535300	556		11927	SH	SOLE	30		11927	0	0
AARONS INC	COM PAR $0.50	002535300	805		17280	SH	SOLE	34		17280	0	0
AARONS INC	COM PAR $0.50	002535300	58		1246	SH	SOLE	36		1246	0	0
AARONS INC	COM PAR $0.50	002535300	335		7185	SH	SOLE	40		7185	0	0
ABAXIS INC	COM	002567105	361		5106	SH	SOLE	2		4940	0	166
ABAXIS INC	COM	002567105	4		52	SH	SOLE	4		52	0	0
ABAXIS INC	COM	002567105	42		588	SH	SOLE	7		588	0	0
ABAXIS INC	COM	002567105	6902		97730	SH	SOLE	18		97730	0	0
ABAXIS INC	COM	002567105	3764		53304	SH	SOLE	19		53304	0	0
ABAXIS INC	COM	002567105	155925		2207951	SH	SOLE	21		2207951	0	0
ABAXIS INC	COM	002567105	49562		701816	SH	SOLE	22		661922	0	39894
ABAXIS INC	COM	002567105	1187		16804	SH	SOLE	23		16804	0	0
ABAXIS INC	COM	002567105	2596		36764	SH	SOLE	26		2815	0	33949
ABAXIS INC	COM	002567105	222		3148	SH	SOLE	28		3148	0	0
ABAXIS INC	COM	002567105	166		2351	SH	SOLE	29		0	0	2351
ABAXIS INC	COM	002567105	2246		31803	SH	SOLE	30		31803	0	0
ABAXIS INC	COM	002567105	181		2568	SH	SOLE	40		2568	0	0
ABB LTD	SPONSORED ADR	000375204	37863		1594899	SH	SOLE	18		1594799	0	100
ABB LTD	SPONSORED ADR	000375204	40599		1710170	SH	SOLE	19		1710170	0	0
ABB LTD	SPONSORED ADR	000375204	1604		67560	SH	SOLE	23		67560	0	0
ABB LTD	SPONSORED ADR	000375204	10343		435681	SH	SOLE	34		435681	0	0
ABBOTT LABS	COM	002824100	169833		2834327	SH	SOLE	2		1213467	0	1620860
ABBOTT LABS	COM	002824100	34941		583120	SH	SOLE	4		540414	0	42706
ABBOTT LABS	COM	002824100	94871		1583294	SH	SOLE	7		1286179	0	297115
ABBOTT LABS	COM	002824100	737		12305	SH	SOLE	13		12305	0	0
ABBOTT LABS	COM	002824100	759		12670	SH	SOLE	15		12670	0	0
ABBOTT LABS	COM	002824100	220220		3675232	SH	SOLE	18		3434785	0	240447
ABBOTT LABS	COM	002824100	277722		4634874	SH	SOLE	19		4634874	0	0
ABBOTT LABS	COM	002824100	42706		712721	SH	SOLE	20		164556	0	548165
ABBOTT LABS	COM	002824100	1944467		32451055	SH	SOLE	21		32451055	0	0
ABBOTT LABS	COM	002824100	2796373		46668440	SH	SOLE	22		38015506	0	8652934
ABBOTT LABS	COM	002824100	128527		2144978	SH	SOLE	23		2144978	0	0
ABBOTT LABS	COM	002824100	94248		1572889	SH	SOLE	25		1572889	0	0
ABBOTT LABS	COM	002824100	285518		4764990	SH	SOLE	26		1578068	0	3186922
ABBOTT LABS	COM	002824100	15758		262989	SH	SOLE	28		262989	0	0
ABBOTT LABS	COM	002824100	10791		180090	SH	SOLE	29		49239	0	130851
ABBOTT LABS	COM	002824100	334446		5581535	SH	SOLE	30		5581535	0	0
ABBOTT LABS	COM	002824100	48453		808624	SH	SOLE	31		331628	0	476996
ABBOTT LABS	COM	002824100	114022		1902911	SH	SOLE	34		1902911	0	0
ABBOTT LABS	COM	002824100	94346		1574538	SH	SOLE	36		1574538	0	0
ABBOTT LABS	COM	002824100	2090		34872	SH	SOLE	40		34872	0	0
ABBVIE INC	COM	00287Y109	228210		2411091	SH	SOLE	2		902593	0	1508498
ABBVIE INC	COM	00287Y109	55839		589957	SH	SOLE	4		549741	0	40216
ABBVIE INC	COM	00287Y109	123340		1303119	SH	SOLE	7		1157569	0	145550
ABBVIE INC	COM	00287Y109	4806		50774	SH	SOLE	13		50774	0	0
ABBVIE INC	COM	00287Y109	1169		12352	SH	SOLE	15		12352	0	0
ABBVIE INC	COM	00287Y109	348270		3679553	SH	SOLE	18		3403675	0	275878
ABBVIE INC	COM	00287Y109	175013		1849058	SH	SOLE	19		1849058	0	0
ABBVIE INC	COM	00287Y109	51472		543810	SH	SOLE	20		69282	0	474528
ABBVIE INC	COM	00287Y109	2715839		28693488	SH	SOLE	21		28693488	0	0
ABBVIE INC	COM	00287Y109	4161351		43965673	SH	SOLE	22		35637862	0	8327811
ABBVIE INC	COM	00287Y109	197611		2087807	SH	SOLE	23		2087807	0	0
ABBVIE INC	COM	00287Y109	135968		1436531	SH	SOLE	25		1436531	0	0
ABBVIE INC	COM	00287Y109	415851		4393568	SH	SOLE	26		1462181	0	2931387
ABBVIE INC	COM	00287Y109	22786		240735	SH	SOLE	28		240735	0	0
ABBVIE INC	COM	00287Y109	20999		221862	SH	SOLE	29		99457	0	122405
ABBVIE INC	COM	00287Y109	489588		5172618	SH	SOLE	30		5172618	0	0
ABBVIE INC	COM	00287Y109	80290		848286	SH	SOLE	31		386337	0	461949
ABBVIE INC	COM	00287Y109	92516		977450	SH	SOLE	34		977450	0	0
ABBVIE INC	COM	00287Y109	143866		1519977	SH	SOLE	36		1519977	0	0
ABBVIE INC	COM	00287Y109	1528		16143	SH	SOLE	37		16143	0	0
ABBVIE INC	COM	00287Y109	2943		31097	SH	SOLE	40		31097	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	83		5790	SH	SOLE	2		1193	0	4597
ABEONA THERAPEUTICS INC	COM	00289Y107	5		358	SH	SOLE	7		358	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	1441		100444	SH	SOLE	18		100444	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	317		22110	SH	SOLE	19		22110	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	13250		923329	SH	SOLE	21		923329	0	0
ABEONA THERAPEUTICS INC	COM	00289Y107	11469		799250	SH	SOLE	22		747540	0	51710
ABEONA THERAPEUTICS INC	COM	00289Y107	181		12582	SH	SOLE	26		0	0	12582
ABEONA THERAPEUTICS INC	COM	00289Y107	92		6415	SH	SOLE	30		6415	0	0
